SquareFeet,NumBedrooms,NumBathrooms,NumFloors,YearBuilt,Neighborhood,DistanceToCityCenter,PublicTransportAccess,PropertyAge,PropertyCondition,PropertyType,GarageCapacity,HasSwimmingPool,HasBasement,HasFireplace,HasView,HasGarden,HasSecuritySystem,price
2600,3,2.5,2,2008,Urban,4,Medium,15,Good,Townhouse,2,Yes,Yes,Yes,No,Yes,Yes,370000
1800,2,1.5,1,1978,Rural,20,Low,43,Fair,Single-Family,1,No,No,No,No,Yes,No,190000
3100,4,3,2,2011,Suburban,12,High,10,Excellent,Single-Family,3,Yes,Yes,Yes,Yes,No,Yes,430000
2400,3,2,1,1995,Urban,5,Medium,27,Good,Condo,1,No,No,No,No,No,No,250000
3800,5,4,3,2020,Suburban,14,High,2,New,Single-Family,3,Yes,Yes,Yes,Yes,Yes,Yes,590000
2200,3,2,1,1982,Suburban,8,High,40,Good,Condo,1,No,No,Yes,No,Yes,No,270000
3900,5,4,3,2023,Suburban,15,High,1,New,Single-Family,3,Yes,Yes,Yes,Yes,Yes,Yes,610000
2800,4,2.5,2,2005,Urban,6,Medium,17,Good,Townhouse,2,Yes,Yes,Yes,Yes,No,Yes,400000
2000,2,1,1,1962,Rural,3,Low,60,Fair,Condo,0,No,No,No,No,No,No,220000
3300,4,3.5,2,2015,Suburban,11,High,7,Excellent,Single-Family,2,Yes,Yes,Yes,Yes,Yes,Yes,550000
2600,3,2,2,2001,Suburban,9,High,20,Good,Single-Family,2,Yes,Yes,Yes,Yes,No,Yes,360000
2400,3,2,2,1992,Urban,4,Medium,31,Good,Single-Family,2,No,No,No,Yes,Yes,Yes,320000
2700,4,3,2,2009,Suburban,13,High,14,Excellent,Single-Family,3,Yes,Yes,Yes,Yes,Yes,Yes,480000
2100,2,1.5,1,1972,Rural,7,Low,50,Fair,Condo,1,No,No,No,No,No,No,200000
3500,4,3.5,2,2019,Suburban,16,High,3,Excellent,Single-Family,2,Yes,Yes,Yes,Yes,No,Yes,540000
1900,2,1,1,1968,Urban,2,High,53,Fair,Condo,0,No,No,No,No,No,No,180000
4200,5,4,3,2025,Suburban,15,High,0,New,Single-Family,3,Yes,Yes,Yes,Yes,Yes,Yes,630000
2900,3,2.5,2,2003,Suburban,12,High,19,Good,Townhouse,2,Yes,Yes,Yes,Yes,Yes,Yes,420000
2300,3,2,1,1999,Urban,5,Medium,23,Good,Single-Family,2,Yes,Yes,Yes,Yes,No,Yes,330000
2500,4,2,2,2007,Suburban,10,High,15,Excellent,Single-Family,2,Yes,Yes,Yes,Yes,Yes,Yes,380000
3600,4,3.5,2,2018,Suburban,17,High,4,Excellent,Single-Family,2,Yes,Yes,Yes,Yes,Yes,Yes,580000
